0,1,2
2.1658,4.1376,2.0396
1.952,7.1215,5.7523
1.0845,5.3174,4.4058
-0.6902,-2.3976,-1.2643
-2.5998,-10.5743,-5.8005
-2.6799,-12.1893,-5.1344
0.2224,-6.8193,-0.2058
3.8992,0.8196,4.7306
4.9748,7.7271,6.167
4.0734,13.6019,4.809
4.6569,18.6364,4.8657
6.6311,21.4082,7.7302
6.2063,16.352,8.391
1.8994,0.1692,2.4667
-3.384,-16.0435,-5.5614
-5.2751,-15.4307,-7.0846
-1.9044,-0.1014,-1.1836
2.998,10.9513,4.4012
3.5211,9.9129,4.2411
0.2027,4.9385,0.9386
-0.6981,-0.3297,-1.2582
2.5118,-7.5039,-1.6177
5.2662,-8.8216,0.0668
4.5875,2.5923,3.9723
1.7986,14.9868,6.7384
0.1074,14.2764,5.51
2.296,6.8722,3.7818
5.9597,5.149,4.6408
3.9522,5.5578,3.5803
-3.5467,-0.224,-2.4524
-6.1389,-8.0546,-6.9458
-0.5191,-9.1148,-4.5093
2.9103,-3.1294,-0.3852
-1.1227,2.8581,-0.624
-4.0234,2.8412,-2.2334
-0.1166,-0.7297,-0.0451
5.1324,1.3521,4.813
6.9511,9.6643,7.5473
5.4398,10.4547,5.0877
-0.3321,-2.6317,-1.5131
-8.2631,-14.4013,-6.6492
-9.526,-11.3288,-5.2547
-1.2846,-1.829,0.2393
6.0987,2.3087,3.0485
4.6693,4.0078,1.4185
0.5237,7.4082,-0.6825
1.3487,8.3077,-0.1915
3.9764,5.2298,2.0331
2.3687,0.6523,2.7926
-1.7828,-5.8392,0.1815
-3.6124,-10.233,-2.9796
-2.9532,-3.404,-2.2013
-1.7717,10.3593,1.6379
0.2713,13.0846,3.4261
2.5634,-0.2253,1.4366
1.8235,-12.9952,-1.3447
-1.7465,-10.7125,-2.1139
-3.2553,0.7803,-0.9834
-1.3415,6.0521,-0.0519
0.2976,1.2699,-0.6393
0.6264,-3.2378,-1.2843
1.4656,-0.4177,-0.1628
1.4195,3.3095,1.4101
-1.6111,-0.0598,0.8714
-5.7138,-7.4387,-2.0822
-8.8727,-12.2214,-6.413
-10.9692,-15.7375,-10.6327
-9.8065,-19.9114,-11.3848
-4.1451,-17.6998,-6.6841
1.1167,-5.0556,-0.7613
2.2136,7.0178,1.1056
3.1617,7.5293,0.8448
6.4701,2.6049,2.9582
6.3901,3.1866,5.3809
-0.2143,6.721,3.6142
-6.418,5.097,-0.4117
-6.1271,0.1324,-1.9534
-2.8309,-2.0516,-1.3996
-1.7689,-3.4795,-1.8592
